,,,,,,,,,,,,
FLATS,,,,,,,,,,,,
People,Price,Flat,Flat no,Area,Postcode,North / South,Address,Availability,Image,Images,Video
2,270,Ensuite,4,Streatham,SW16 5UP,South,12 Grayscroft Road SW16 5UP,now,https://drive.google.com/uc?export=view&id=1vO_QWXU-usxbDkBubyh1c2fYXiD_PD_X,https://drive.google.com/uc?export=view&id=1Zuc2w3Z1KBtj7ToFSRAlLTo9CI3yIaeb|https://drive.google.com/uc?export=view&id=19CQDoXzFSXO1BLl0cU0FKLUjjO7cgxhD|https://drive.google.com/uc?export=view&id=1DDSCMqWXgtSm93hhNDt_B6AJrFvcMAJX,https://drive.google.com/uc?export=view&id=1CH38pV7H-slgD4BnuoiljCpiDVowRmDp
2,220,Double,4,Golders Green,NW11 0QR,North,"19 Temple Fortune Mansions, Finchley Road",now,,,
2,270,Ensuite,6,Mitcham,CR4 4EE,South,28 Broadway Gardens CR4 4EE,now,,,
2,270,Ensuite,1,Norwood,SE27 9JY,South,28 Dunbar Street SE27 9JY,now,https://drive.google.com/uc?export=view&id=1gPrCgT4N9TVFhyO214PqfOqOi_uVASV5,https://drive.google.com/uc?export=view&id=17KGWgJ_tIzCg1VGxAFatE6uot962UPPV|https://drive.google.com/uc?export=view&id=1J1-WLEDqRyoRMot8ikgeaFSd5ZRHrs4T|https://drive.google.com/uc?export=view&id=1ySqzbPldjPEtaBXHU0TILgET9YA-thTC|https://drive.google.com/uc?export=view&id=19Bzvmu0HmUMu5_uR6haQX-CBy5tEfQTP|https://drive.google.com/uc?export=view&id=1hg_WivLzXcQmmzyc2CfjgRl7VAORkU3_,https://drive.google.com/uc?export=view&id=1Q5U7_DwM4MA746sDmNBl7avbYLFn0Owd
2,270,Ensuite,6,Norwood,SE27 9JY,South,28 Dunbar Street SE27 9JY,now,https://drive.google.com/uc?export=view&id=17F0sLBjFG_OaRP1drUHD6Fk03k7wuK-U,https://drive.google.com/uc?export=view&id=1vwyW9XWKOoIny1M7xPhZPz4axU66tVdf|https://drive.google.com/uc?export=view&id=10pu3EfQ1D0NghVH8sx6X5-oEFgeGnbKo|https://drive.google.com/uc?export=view&id=1MjCrIph9G8Gxmg4WwxCALGBwa6dVv7_b|https://drive.google.com/uc?export=view&id=1llWtLXe5lJw4yJwIPu2Hjm4wQel4_8gE|https://drive.google.com/uc?export=view&id=1qFMQTfRPziJ2Up45bJKlahuK_RrPbZMJ|https://drive.google.com/uc?export=view&id=1oSM6FG8OH7ueGvLwGmDh_lotINe03CF-,https://drive.google.com/uc?export=view&id=19QqtKfooTsbjNVLc0PU89wDImtoqlVqz
2,270,Ensuite,1,Neasden,NW10 9NU,North,46 Ilex Road NW10 9NU,now,https://drive.google.com/uc?export=view&id=17F0sLBjFG_OaRP1drUHD6Fk03k7wuK-U,https://drive.google.com/uc?export=view&id=1vwyW9XWKOoIny1M7xPhZPz4axU66tVdf|https://drive.google.com/uc?export=view&id=10pu3EfQ1D0NghVH8sx6X5-oEFgeGnbKo|https://drive.google.com/uc?export=view&id=1MjCrIph9G8Gxmg4WwxCALGBwa6dVv7_b|https://drive.google.com/uc?export=view&id=1llWtLXe5lJw4yJwIPu2Hjm4wQel4_8gE|https://drive.google.com/uc?export=view&id=1qFMQTfRPziJ2Up45bJKlahuK_RrPbZMJ|https://drive.google.com/uc?export=view&id=1oSM6FG8OH7ueGvLwGmDh_lotINe03CF-,https://drive.google.com/uc?export=view&id=19QqtKfooTsbjNVLc0PU89wDImtoqlVqz
2,270,Ensuite,2,Neasden,NW10 9NU,North,46 Ilex Road NW10 9NU,now,https://drive.google.com/uc?export=view&id=1ZmypNgMclm4CWGZ0TWRa_B1Ncc5gXed-,https://drive.google.com/uc?export=view&id=1njpKFTE3bSchO2PiuT643EXOiDnVo7-r|https://drive.google.com/uc?export=view&id=1Yfh3QPXNgqJkwzcgpXqMxJbvhEcLzGd4|https://drive.google.com/uc?export=view&id=1htlUryC9a4T0HEilJef5qlEzjPlDCcUG,https://drive.google.com/uc?export=view&id=1qkz-dziOtvNz9BLHBlWE5AekFGOoAxBz
2,270,Ensuite,3,Neasden,NW10 9NU,North,46 Ilex Road NW10 9NU,now,https://drive.google.com/uc?export=view&id=15gezfWl2VkUnWONNP28xlkj8v5rhovWK,https://drive.google.com/uc?export=view&id=10fhBmBwodfTVYhb7kxq4-8XejMITTFwu|https://drive.google.com/uc?export=view&id=14PgC9-wsM2PMwBm6e_rTm2qCRWMepuzl,https://drive.google.com/uc?export=view&id=1hVGUp7kFp-WhKoewdAilenvAFJ3tYEEi
2,360,Studio,7A,Streatham,SW16 5RZ,South,56 Buckleigh Road SW16 5RZ,now,https://drive.google.com/uc?export=view&id=1TqdhFWTmLJFqW_i5nhVzq-zV4M2MBfAV,https://drive.google.com/uc?export=view&id=1tQ2FndepI7tr94JdugxoQT1Ux9a7y9k3|https://drive.google.com/uc?export=view&id=1bpcWZfMGlIOp2bGfvUVqA4ubczSswioo|https://drive.google.com/uc?export=view&id=1Mxv6o3sP13TvuWJpiJ5W-FvGWQ9lVPr2|https://drive.google.com/uc?export=view&id=1Puhqa0sqPHtxxAibvrDxhSiV2SHTTLJ3|https://drive.google.com/uc?export=view&id=1dUPtstkL5YLajlU0u7Q1LciqEhh48BF1,https://drive.google.com/uc?export=view&id=1YaeX9o0lh66a41JZBUsCFFwWkQA83YBz
2,320,Studio,3C,Streatham,SW16 5RZ,South,56 Buckleigh Road SW16 5RZ,now,https://drive.google.com/uc?export=view&id=197hnHmUu7i-lmn42uepIHXcL9RMMinuB,https://drive.google.com/uc?export=view&id=18Ng6u06VCBz7Zik7RrCxep5c4DypaIl_|https://drive.google.com/uc?export=view&id=1w7GBVOAmR4IhfMFnNqbAHH2XvXxDSIMc|https://drive.google.com/uc?export=view&id=1xAMh907u7GGB9FPHknzB-127fKySbH7u,https://drive.google.com/uc?export=view&id=17bmGQK863YmfDFWnYE-6S5WEM-MHZEIA
